iter	RMSE
0	88.66731657
1	88.26866944
2	87.97586885
3	87.62831596
4	87.24889287
5	86.90773566
6	86.56156834
7	86.23621169
8	85.89771337
9	85.54108245
10	85.22777316
11	84.9652777
12	84.60545272
13	84.28458282
14	83.93331916
15	83.59312373
16	83.28918536
17	83.01763826
18	82.72694737
19	82.44774021
20	82.13262232
21	81.84490502
22	81.56672996
23	81.3544692
24	81.04102372
25	80.77813979
26	80.50168609
27	80.23635784
28	79.97984665
29	79.70438276
30	79.44825308
31	79.16157011
32	78.93045334
33	78.71987996
34	78.4617606
35	78.21799593
36	77.9638712
37	77.73536
38	77.49657623
39	77.28654566
40	77.06675374
41	76.96533449
42	76.749222
43	76.53846566
44	76.32313518
45	76.09431766
46	75.90547171
47	75.69515675
48	75.50233188
49	75.33537068
50	75.13920867
51	74.92249338
52	74.73234903
53	74.55886539
54	74.38971308
55	74.2095489
56	74.0456739
57	73.86109988
58	73.69244203
59	73.51913694
60	73.36459657
61	73.18798709
62	73.02386956
63	72.87097007
64	72.71127514
65	72.56846068
66	72.40244976
67	72.2380513
68	72.09429384
69	71.93580735
70	71.77567762
71	71.61615871
72	71.45592429
73	71.28483808
74	71.15648603
75	71.01737689
76	70.88326633
77	70.74784541
78	70.63063135
79	70.48587079
80	70.36289329
81	70.22497755
82	70.10260986
83	69.9802066
84	69.855484
85	69.70700033
86	69.58191147
87	69.45517979
88	69.31785018
89	69.19483367
90	69.11405768
91	69.02777472
92	68.91571312
93	68.79643134
94	68.69334179
95	68.60248864
96	68.49015525
97	68.38045318
98	68.26201577
99	68.1461717
100	68.03604171
101	67.93133501
102	67.82567
103	67.72067467
104	67.61419442
105	67.54968414
106	67.45671681
107	67.34376886
108	67.24669584
109	67.14860589
110	67.06154905
111	66.9716177
112	66.87780255
113	66.79219186
114	66.70678654
115	66.62947547
116	66.54034998
117	66.45062368
118	66.36307206
119	66.29373208
120	66.22205203
121	66.15408675
122	66.08031029
123	66.00680916
124	65.91515145
125	65.84735394
126	65.77434307
127	65.70907863
128	65.63738825
129	65.56232084
130	65.48692602
131	65.4163846
132	65.36906095
133	65.31620975
134	65.25934277
135	65.18423096
136	65.11464487
137	65.05199159
138	65.00085481
139	64.94313972
140	64.88630424
141	64.82470995
142	64.77684413
143	64.73387239
144	64.66418383
145	64.59869435
146	64.53320414
147	64.47044574
148	64.40956875
149	64.36069773
150	64.30668652
151	64.25899736
152	64.18966054
153	64.14036378
154	64.08684251
155	64.03532733
156	63.9829026
157	63.93429772
158	63.89960691
159	63.85189065
160	63.80521935
161	63.7519117
162	63.70154383
163	63.65435619
164	63.60910267
165	63.5510622
166	63.51258212
167	63.47444517
168	63.43024244
169	63.38693293
170	63.33688258
171	63.29735803
172	63.24925671
173	63.20996236
174	63.1693593
175	63.13517188
176	63.08914687
177	63.04937885
178	63.01276177
179	62.97062712
180	62.9269631
181	62.90655588
182	62.86798182
183	62.83077844
184	62.78580755
185	62.74928799
186	62.71151642
187	62.66752172
188	62.63711309
189	62.60554873
190	62.57186355
191	62.52328486
192	62.4902962
193	62.44931453
194	62.41877245
195	62.38845107
196	62.36164773
197	62.32456497
198	62.29815257
199	62.26129854
200	62.23284684
201	62.19763603
202	62.15580753
203	62.12248502
204	62.08712832
205	62.05150994
206	62.02284185
207	61.98947659
208	61.97686801
209	61.961101
210	61.92669329
211	61.89305501
212	61.86710204
213	61.84708302
214	61.8126106
215	61.78226385
216	61.75419083
217	61.72579819
218	61.68860169
219	61.6613907
220	61.63175341
221	61.60325082
222	61.56890393
223	61.54506077
224	61.5206994
225	61.50523836
226	61.48123125
227	61.45668696
228	61.43398218
229	61.41389779
230	61.39453596
231	61.36557668
232	61.3432366
233	61.3159421
234	61.28983111
235	61.26676698
236	61.2402569
237	61.21310958
238	61.19761461
239	61.17272442
240	61.14492395
241	61.11836791
242	61.10185994
243	61.07524152
244	61.05673034
245	61.03524734
246	61.01622059
247	60.98933172
248	60.96959403
249	60.9484207
250	60.92989342
251	60.90114826
252	60.8823856
253	60.86649764
254	60.85171277
255	60.84371691
256	60.82408904
257	60.79758959
258	60.77404706
259	60.74871017
260	60.72679154
261	60.7043283
262	60.69043942
263	60.67168736
264	60.6562544
265	60.63430892
266	60.61744419
267	60.59095427
268	60.5667558
269	60.55243817
270	60.53224224
271	60.51153978
272	60.49564613
273	60.4810113
274	60.46128984
275	60.43818073
276	60.42336949
277	60.40938063
278	60.38793692
279	60.366353
280	60.34606978
281	60.33345066
282	60.32549471
283	60.31569412
284	60.30068234
285	60.28199476
286	60.26436621
287	60.24295271
288	60.22237778
289	60.20207976
290	60.18483127
291	60.16630855
292	60.1588122
293	60.13609045
294	60.11691474
295	60.10319973
296	60.08359663
297	60.06481058
298	60.04581787
299	60.02616218
300	59.99616067
301	59.98305336
302	59.96840825
303	59.94717252
304	59.93123958
305	59.91169214
306	59.90558367
307	59.88974617
308	59.87460095
309	59.86384576
310	59.85565017
311	59.83754911
312	59.82780487
313	59.81393841
314	59.810948
315	59.79820617
316	59.78586229
317	59.77467883
318	59.7527102
319	59.73946596
320	59.72416602
321	59.71200594
322	59.69558954
323	59.67863961
324	59.6663098
325	59.65420782
326	59.64808708
327	59.63530481
328	59.62072308
329	59.60833364
330	59.59051932
331	59.57787685
332	59.56616193
333	59.55446294
334	59.53998752
335	59.53000145
336	59.51432633
337	59.49935377
338	59.48742257
339	59.47454205
340	59.45438582
341	59.43536223
342	59.41892111
343	59.40555961
344	59.39575248
345	59.38988556
346	59.37787112
347	59.36738343
348	59.35089977
349	59.33839133
350	59.3307226
351	59.31794131
352	59.31033163
353	59.29732163
354	59.28467041
355	59.26890798
356	59.26683967
357	59.25933417
358	59.25246955
359	59.24043297
360	59.22064705
361	59.2131707
362	59.20713539
363	59.19877182
364	59.184661
365	59.17331653
366	59.15997786
367	59.148312
368	59.13815191
369	59.13145577
370	59.11518811
371	59.10150806
372	59.09112444
373	59.07188374
374	59.06542858
375	59.05611786
376	59.04312299
377	59.02535434
378	59.00705092
379	58.99148475
380	58.98033716
381	58.97381523
382	58.96351956
383	58.95068159
384	58.94082815
385	58.9300498
386	58.91856824
387	58.90650567
388	58.89247124
389	58.88376096
390	58.86726497
391	58.85823636
392	58.8471145
393	58.83278774
394	58.81832819
395	58.81192505
396	58.8024399
397	58.79116691
398	58.77595278
399	58.76338483
400	58.75025669
401	58.73597895
402	58.72959318
403	58.72016122
404	58.71188006
405	58.7019841
406	58.69532747
407	58.6863208
408	58.67738771
409	58.66688389
410	58.65304242
411	58.64031563
412	58.6267502
413	58.61881866
414	58.61059914
415	58.59581424
416	58.59297595
417	58.5789307
418	58.57713621
419	58.56313189
420	58.55269333
421	58.54322064
422	58.53643227
423	58.52769362
