iter	RMSE
0	87.08266229
1	86.69267243
2	86.41023658
3	86.07396003
4	85.69489028
5	85.35525617
6	85.01004698
7	84.69153294
8	84.35662314
9	84.06237863
10	83.75636565
11	83.50322
12	83.18516305
13	82.87305292
14	82.54564139
15	82.21063669
16	81.90917459
17	81.64777147
18	81.35820967
19	81.05778055
20	80.77289199
21	80.48561973
22	80.21585095
23	80.00961287
24	79.74912394
25	79.46657073
26	79.1918346
27	78.91371567
28	78.69532505
29	78.43968761
30	78.17830632
31	77.95352371
32	77.77469166
33	77.58912305
34	77.34217198
35	77.15849066
36	76.92509813
37	76.7162071
38	76.49154278
39	76.25839284
40	76.00321358
41	75.7649295
42	75.56126756
43	75.36109026
44	75.16609541
45	74.97487225
46	74.75233633
47	74.5570634
48	74.35508224
49	74.15758652
50	73.95800105
51	73.74008925
52	73.58149906
53	73.4064734
54	73.19394167
55	72.98717763
56	72.80115056
57	72.63692893
58	72.44306334
59	72.25945449
60	72.08607321
61	71.94094943
62	71.79142452
63	71.62540838
64	71.46485114
65	71.29747447
66	71.13295963
67	70.98786207
68	70.83076019
69	70.69662301
70	70.56871857
71	70.40580456
72	70.24727303
73	70.09643688
74	69.96667233
75	69.82471525
76	69.67813029
77	69.5565532
78	69.39657407
79	69.27246512
80	69.15813774
81	69.01288306
82	68.88288679
83	68.74319541
84	68.61279679
85	68.48512684
86	68.35861209
87	68.21866435
88	68.07667841
89	67.98378335
90	67.85312127
91	67.75229746
92	67.62850834
93	67.50236559
94	67.38442174
95	67.26368013
96	67.14556317
97	67.07084781
98	66.95314096
99	66.86244669
100	66.77839019
101	66.67141248
102	66.57279382
103	66.45629001
104	66.34695472
105	66.27936899
106	66.16584777
107	66.08080246
108	65.9687252
109	65.8610518
110	65.76385564
111	65.67249355
112	65.57202361
113	65.46995442
114	65.38217798
115	65.29081024
116	65.21378549
117	65.11908272
118	65.02163804
119	64.92934525
120	64.852856
121	64.78208528
122	64.71172349
123	64.63630846
124	64.56504759
125	64.46821226
126	64.38394789
127	64.31653763
128	64.24578732
129	64.1706186
130	64.0906514
131	64.02789717
132	63.95090348
133	63.87995278
134	63.82212295
135	63.75991254
136	63.68182165
137	63.60306658
138	63.53343166
139	63.47481446
140	63.41282733
141	63.34592797
142	63.2968534
143	63.24449897
144	63.1943488
145	63.11898676
146	63.04794925
147	62.97538236
148	62.90680265
149	62.83933193
150	62.78880961
151	62.73125256
152	62.66708862
153	62.59257313
154	62.53906235
155	62.4730308
156	62.41820486
157	62.35857644
158	62.30587828
159	62.27175615
160	62.22224783
161	62.17103404
162	62.11757066
163	62.07202722
164	62.02436146
165	61.97421923
166	61.91699355
167	61.8894397
168	61.83991486
169	61.78615175
170	61.73972442
171	61.68885621
172	61.64177968
173	61.58385117
174	61.54186709
175	61.51430368
176	61.46442469
177	61.41637448
178	61.39088532
179	61.34192837
180	61.29463812
181	61.24882354
182	61.20375241
183	61.16228815
184	61.11280248
185	61.07280785
186	61.03024131
187	60.99467851
188	60.95314212
189	60.92375948
190	60.88466218
191	60.84902333
192	60.80979562
193	60.76874022
194	60.7324126
195	60.69899365
196	60.66000569
197	60.62370851
198	60.58892143
199	60.55817816
200	60.51973856
201	60.49681962
202	60.46385427
203	60.42541092
204	60.39704669
205	60.36116601
206	60.33285563
207	60.30170879
208	60.26724276
209	60.23079656
210	60.21234101
211	60.17326082
212	60.13840817
213	60.10707722
214	60.0827325
215	60.0505194
216	60.01654969
217	59.99154523
218	59.95170469
219	59.92083068
220	59.89475172
221	59.857717
222	59.83020408
223	59.79274355
224	59.75354444
225	59.72581102
226	59.70658892
227	59.68007894
228	59.64753355
229	59.60637058
230	59.58146565
231	59.55449979
232	59.52638502
233	59.49566815
234	59.45713543
235	59.42758498
236	59.40154851
237	59.37796
238	59.34752222
239	59.31141233
240	59.29869622
241	59.26920899
242	59.25473075
243	59.23894187
244	59.21463541
245	59.19084497
246	59.16269629
247	59.13770954
248	59.12362735
249	59.10448234
250	59.07907036
251	59.04808154
252	59.02902152
253	59.00426812
254	58.98114243
255	58.96130841
256	58.94350652
257	58.92504219
258	58.90635005
259	58.89041993
260	58.86867159
261	58.84816456
262	58.82871366
263	58.80489293
264	58.78434267
265	58.76095937
266	58.73792301
267	58.71881886
268	58.69956329
269	58.67574166
270	58.65588521
271	58.63623833
272	58.61336593
273	58.59205874
274	58.57065571
275	58.54646476
276	58.52859028
277	58.52002494
278	58.50997471
279	58.48940885
280	58.46733429
281	58.45460046
282	58.42580372
283	58.41593705
284	58.40501472
285	58.38268452
286	58.36210983
287	58.33450686
288	58.30892804
289	58.29036012
290	58.26985714
291	58.25169659
292	58.23376319
293	58.22194199
294	58.2006395
295	58.17702576
296	58.15622616
297	58.13321152
298	58.11345716
299	58.09818638
300	58.0807671
301	58.05774489
302	58.04253312
303	58.02606293
304	57.99689508
305	57.97983289
306	57.95587069
307	57.93748161
308	57.92367668
309	57.90695347
310	57.89792696
311	57.88506027
312	57.87214174
313	57.86210171
314	57.84328702
315	57.84143457
316	57.82960751
317	57.8099346
318	57.79867321
319	57.78152651
320	57.75950294
321	57.74695109
322	57.73510285
323	57.71830075
324	57.70184554
325	57.68849471
326	57.67368404
327	57.66416926
328	57.65526531
329	57.64317325
330	57.63116336
331	57.61669334
332	57.60204353
333	57.58859967
334	57.57787863
335	57.5646717
336	57.55611066
337	57.53935386
338	57.52654193
339	57.51165251
340	57.499235
341	57.47959147
342	57.46448469
343	57.44855927
344	57.43805479
345	57.42768124
346	57.42202683
347	57.41105824
348	57.39761807
349	57.38216206
350	57.3690306
351	57.35741075
352	57.34108195
353	57.33036099
354	57.31088435
355	57.29661524
356	57.27891891
357	57.26582054
358	57.25272586
359	57.23726648
360	57.21609369
361	57.2084515
362	57.19322237
363	57.1789245
364	57.16955194
365	57.15204809
366	57.13452446
367	57.12118897
368	57.11375182
369	57.09523021
370	57.08355253
371	57.07261264
372	57.05381739
373	57.04924989
374	57.03541214
375	57.02441562
376	57.01548688
377	57.00061743
378	56.98096704
379	56.9698117
380	56.95487987
381	56.94052863
382	56.93194314
383	56.91556778
384	56.90589557
385	56.89378892
386	56.87651865
387	56.86335783
388	56.85661414
389	56.84106896
390	56.82904955
391	56.81338897
392	56.79964627
393	56.78517067
394	56.77514791
395	56.760801
396	56.74545182
397	56.73677782
398	56.71795195
399	56.70556388
400	56.7026868
401	56.69719922
402	56.6826927
403	56.66946045
404	56.6605668
405	56.65049727
406	56.6397919
407	56.62288206
408	56.6086997
409	56.60116047
410	56.59479241
411	56.57782157
412	56.56422521
413	56.55326223
414	56.54447642
415	56.53309776
416	56.52549276
417	56.51179182
418	56.50141759
419	56.48622595
420	56.4789552
421	56.46740906
422	56.45911579
423	56.45129349
424	56.44521616
425	56.43235589
426	56.4265026
427	56.41395035
428	56.40273906
429	56.39266209
430	56.39009726
431	56.3756246
432	56.36578628
433	56.35424343
434	56.34795617
435	56.34465368
436	56.33427242
437	56.32752339
438	56.31698313
439	56.30823798
440	56.30184613
441	56.28773471
442	56.28001763
443	56.27412882
444	56.25598071
445	56.24934815
446	56.24288153
447	56.22086299
448	56.21328925
449	56.2015366
450	56.19516264
451	56.18645548
452	56.17673828
453	56.16153426
454	56.15076022
455	56.14286612
456	56.13603852
457	56.12971216
458	56.12395838
459	56.11683965
460	56.10711699
461	56.0995829
462	56.09836074
463	56.09077571
464	56.08793184
465	56.07182173
466	56.06223481
467	56.05229829
468	56.04267601
469	56.03322853
470	56.02219772
471	56.01407588
472	56.01082763
